Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating,Score_class
Wanted: Weapons of Fate,14,2009,8,Warner Bros. Interactive Entertainment,0.17,0.15,0.0,0.04,0.37,62.0,61.0,7.5,26.0,GRIN,4,Low
Xenosaga Episode III: Also sprach Zarathustra,7,2006,7,Namco Bandai Games,0.09,0.07,0.18,0.02,0.37,81.0,34.0,9.0,59.0,Monolith Soft,6,High
Rune Factory: Frontier,12,2008,7,Rising Star Games,0.16,0.13,0.04,0.03,0.37,79.0,34.0,8.5,39.0,Neverland,2,High
Mini Ninjas,12,2009,0,Eidos Interactive,0.16,0.16,0.0,0.04,0.37,79.0,9.0,8.3,12.0,Io Interactive,2,High
Naruto Shippuden: Ninja Destiny 2,2,2008,2,Takara Tomy,0.19,0.02,0.13,0.02,0.37,55.0,12.0,5.7,11.0,Takara Tomy,6,Low
Scribblenauts: Unlimited,13,2012,0,Warner Bros. Interactive Entertainment,0.25,0.09,0.0,0.03,0.37,73.0,42.0,7.4,109.0,5TH Cell,2,Average
Marvel: Ultimate Alliance,10,2006,7,Activision,0.33,0.0,0.0,0.03,0.37,81.0,19.0,7.5,14.0,Vicarious Visions,6,High
The Sims 2: Castaway,7,2007,9,Electronic Arts,0.3,0.01,0.0,0.05,0.37,71.0,17.0,8.0,15.0,EA Redwood Shores,6,Average
NCAA Football 07,10,2006,10,Electronic Arts,0.34,0.0,0.0,0.03,0.37,75.0,16.0,7.9,11.0,EA Sports,1,Average
Fragile Dreams: Farewell Ruins of the Moon,12,2009,7,Rising Star Games,0.16,0.12,0.06,0.03,0.36,67.0,41.0,8.3,63.0,Tri-Crescendo,6,Average
GoldenEye: Rogue Agent,4,2004,8,Electronic Arts,0.28,0.07,0.0,0.01,0.36,60.0,35.0,6.7,14.0,EA LA,6,Low
Need for Speed: The Run,5,2011,0,Electronic Arts,0.09,0.21,0.0,0.07,0.36,69.0,18.0,5.8,338.0,Black Box,6,Average
Dragon Ball Z: Infinite World,7,2008,2,Namco Bandai Games,0.08,0.06,0.21,0.02,0.36,48.0,17.0,7.9,37.0,Dimps Corporation,6,Low
Elite Beat Agents,2,2006,3,Nintendo,0.3,0.03,0.0,0.03,0.36,87.0,51.0,8.6,105.0,iNiS,2,High
ESPN X Games Skateboarding,7,2001,10,Konami Digital Entertainment,0.18,0.14,0.0,0.05,0.36,58.0,15.0,7.8,14.0,KCEO,1,Low
Sid Meier's Civilization: Beyond Earth,5,2014,11,Take-Two Interactive,0.11,0.22,0.0,0.03,0.36,81.0,78.0,5.5,1027.0,Firaxis Games,2,High
Castlevania: Order of Ecclesia,2,2008,4,Konami Digital Entertainment,0.27,0.02,0.04,0.03,0.36,85.0,46.0,8.7,111.0,Konami,6,High
Left 4 Dead 2,5,2009,8,Valve Software,0.0,0.32,0.0,0.04,0.36,89.0,55.0,8.5,2530.0,Valve Software,4,High
Green Day: Rock Band,12,2010,3,MTV Games,0.22,0.11,0.0,0.03,0.36,76.0,12.0,8.8,11.0,Harmonix Music Systems,6,Average
Star Fox: Zero,13,2016,8,Nintendo,0.17,0.1,0.07,0.03,0.36,69.0,82.0,7.4,662.0,PlatinumGames,2,Average
SAW,8,2009,0,Konami Digital Entertainment,0.13,0.17,0.0,0.06,0.36,59.0,41.0,6.4,28.0,Zombie Studios,4,Low
Tom Clancy's HAWX 2,14,2010,0,Ubisoft,0.24,0.09,0.01,0.03,0.36,68.0,57.0,6.3,29.0,Ubisoft,6,Average
High Heat Major League Baseball 2004,7,2003,10,3DO,0.18,0.14,0.0,0.05,0.36,83.0,17.0,8.1,12.0,3DO,1,High
Robots,7,2005,0,Vivendi Games,0.18,0.14,0.0,0.05,0.36,53.0,6.0,6.0,8.0,Eurocom Entertainment Software,1,Low
NARC,7,2005,8,Midway Games,0.18,0.14,0.0,0.05,0.36,50.0,24.0,7.0,21.0,Point of View,4,Low
Dragon Ball Z: Attack of the Saiyans,2,2009,7,Namco Bandai Games,0.12,0.02,0.21,0.01,0.36,73.0,21.0,7.9,24.0,Monolith Soft,2,Average
Bionic Commando,8,2009,4,Capcom,0.12,0.17,0.01,0.06,0.36,71.0,48.0,7.4,62.0,GRIN,4,Average
Monster Rancher 3,7,2001,9,Tecmo Koei,0.11,0.09,0.14,0.03,0.36,77.0,13.0,8.5,23.0,Tecmo,1,Average
The Incredibles: Rise of the Underminer,7,2005,0,THQ,0.18,0.14,0.0,0.05,0.36,60.0,12.0,7.1,8.0,Heavy Iron Studios,2,Low
Sword Art Online: Lost Song,11,2015,7,Namco Bandai Games,0.06,0.04,0.23,0.03,0.36,70.0,4.0,7.1,27.0,"Bandai Namco Games, Artdink",6,Average
Hamtaro: Ham-Ham Heartbreak,3,2002,0,Nintendo,0.26,0.1,0.0,0.01,0.36,72.0,7.0,9.3,18.0,Pax Softonica,1,Average
Okage: Shadow King,7,2001,7,Sony Computer Entertainment,0.14,0.11,0.08,0.04,0.36,70.0,23.0,8.5,14.0,Zener Works,6,Average
BlazBlue: Calamity Trigger,14,2009,2,PQube,0.21,0.08,0.04,0.03,0.36,86.0,51.0,8.5,70.0,Arc System Works,6,High
NBA 2K6,15,2005,0,Take-Two Interactive,0.27,0.08,0.0,0.01,0.36,84.0,27.0,8.7,15.0,Visual Concepts,1,High
Marvel Super Hero Squad,12,2009,2,THQ,0.3,0.03,0.0,0.03,0.36,49.0,16.0,6.2,14.0,Blue Tongue Entertainment,2,Low
The Chronicles of Narnia: Prince Caspian,12,2008,0,Disney Interactive Studios,0.31,0.02,0.0,0.03,0.36,63.0,5.0,7.1,12.0,Traveller's Tales,6,Low
World's Scariest Police Chases,6,2001,6,Activision,0.2,0.14,0.0,0.02,0.36,54.0,16.0,6.3,4.0,UDS,6,Low
MechAssault 2: Lone Wolf,15,2004,9,Microsoft Game Studios,0.27,0.08,0.0,0.01,0.36,81.0,66.0,7.5,23.0,Day 1 Studios,6,High
Valkyrie Profile: Lenneth,10,2006,7,Square Enix,0.17,0.01,0.16,0.02,0.36,80.0,39.0,8.4,57.0,TOSE,6,High
Just Dance 2016,9,2015,3,Ubisoft,0.17,0.13,0.0,0.06,0.36,73.0,10.0,6.8,20.0,Ubisoft,2,Average
ESPN NFL Football,15,2003,10,Sega,0.27,0.08,0.0,0.01,0.36,91.0,25.0,8.9,45.0,Visual Concepts,1,High
Rapala Pro Fishing,7,2004,10,Zoo Digital Publishing,0.18,0.14,0.0,0.05,0.36,59.0,6.0,8.7,32.0,Activision,1,Low
Spider-Man: Shattered Dimensions,14,2010,0,Activision,0.24,0.08,0.0,0.03,0.36,76.0,68.0,7.6,96.0,Beenox,6,Average
TMNT,12,2007,0,Ubisoft,0.3,0.03,0.0,0.03,0.36,60.0,17.0,5.9,11.0,Ubisoft Montreal,2,Low
Fossil Fighters: Frontier,0,2014,7,Nintendo,0.08,0.04,0.23,0.01,0.36,57.0,25.0,4.8,19.0,"RED Entertainment, Spike Chunsoft",2,Low
Arc the Lad: Twilight of the Spirits,7,2003,7,Sony Computer Entertainment,0.18,0.14,0.0,0.05,0.36,72.0,39.0,8.2,33.0,Cattle Call,6,Average
Watch Dogs 2,16,2016,0,Ubisoft,0.17,0.16,0.0,0.03,0.36,83.0,9.0,7.7,131.0,Ubisoft Montreal,4,High
Tiger Woods PGA Tour 09,10,2008,10,Electronic Arts,0.07,0.18,0.0,0.1,0.36,53.0,4.0,5.5,6.0,Exient Entertainment,1,Low
Harry Potter and the Chamber of Secrets,15,2002,0,Electronic Arts,0.27,0.08,0.0,0.01,0.36,77.0,13.0,7.2,12.0,Eurocom Entertainment Software,1,Average
Arctic Thunder,7,2001,6,Midway Games,0.17,0.14,0.0,0.05,0.36,45.0,23.0,5.3,10.0,Inland Productions,6,Low
ESPN: Sports Connection,13,2012,10,Ubisoft,0.2,0.12,0.0,0.03,0.36,31.0,13.0,2.7,18.0,Ubisoft,1,Low
Shrek,15,2001,4,TDK Mediactive,0.25,0.1,0.0,0.01,0.36,49.0,19.0,5.4,9.0,Digital Illusions,6,Low
Dragon's Crown,11,2013,7,Nippon Ichi Software,0.14,0.05,0.12,0.05,0.35,78.0,15.0,8.4,198.0,Vanillaware,6,Average
Wipeout 2048,11,2012,6,Sony Computer Entertainment,0.13,0.17,0.0,0.05,0.35,79.0,63.0,8.2,191.0,Studio Liverpool,2,High
Trauma Center: Under the Knife,2,2005,9,Nintendo,0.3,0.01,0.02,0.03,0.35,81.0,45.0,8.7,45.0,ITL,6,High
Earth Defense Force 2025,8,2013,8,D3Publisher,0.04,0.02,0.27,0.01,0.35,69.0,28.0,7.5,52.0,Sandlot,4,Average
Middle-Earth: Shadow of Mordor,5,2014,0,Warner Bros. Interactive Entertainment,0.12,0.2,0.0,0.03,0.35,84.0,17.0,8.0,1671.0,Monolith Productions,4,High
Suikoden V,7,2006,7,Konami Digital Entertainment,0.08,0.06,0.19,0.02,0.35,76.0,43.0,7.6,109.0,Konami,6,Average
Tiger Woods PGA Tour 14,14,2013,10,Electronic Arts,0.21,0.12,0.0,0.03,0.35,77.0,28.0,6.2,26.0,EA Tiburon,1,Average
LocoRoco 2,10,2008,4,Sony Computer Entertainment,0.21,0.09,0.01,0.04,0.35,85.0,55.0,8.4,44.0,SCE Japan Studio,1,High
Football Manager Handheld 2010,10,2009,10,Sega,0.0,0.26,0.0,0.09,0.35,69.0,10.0,6.9,7.0,Sports Interactive,1,Average
Batman: Rise of Sin Tzu,7,2003,0,Ubisoft,0.17,0.13,0.0,0.05,0.35,63.0,21.0,8.3,14.0,Ubisoft Montreal,6,Low
Worms: Open Warfare 2,2,2007,11,THQ,0.07,0.24,0.0,0.04,0.35,81.0,25.0,9.1,22.0,"Team 17, Two Tribes",2,High
Dark Void,8,2010,0,Capcom,0.18,0.12,0.0,0.05,0.35,59.0,50.0,6.0,36.0,Airtight Games,6,Low
Guitar Hero: Smash Hits,8,2009,3,Activision,0.2,0.11,0.0,0.05,0.35,73.0,34.0,7.2,9.0,Beenox,6,Average
NHL 2K10,12,2009,10,Take-Two Interactive,0.32,0.01,0.0,0.03,0.35,79.0,8.0,6.8,16.0,Take-Two Interactive,2,High
Bloody Roar 3,7,2001,2,Virgin Interactive,0.15,0.11,0.05,0.04,0.35,71.0,20.0,8.6,34.0,Eighting/Raizing,6,Average
WWE Crush Hour,7,2003,6,THQ,0.17,0.13,0.0,0.04,0.35,56.0,13.0,5.3,8.0,Pacific Coast Power & Light,6,Low
Persona 2: Eternal Punishment,6,2000,7,Atlus,0.03,0.02,0.28,0.02,0.35,83.0,11.0,8.4,25.0,Atlus Co.,6,High
Homefront: The Revolution,9,2016,8,Deep Silver,0.06,0.21,0.03,0.05,0.35,48.0,43.0,3.8,212.0,Deep Silver Dambuster Studios,4,Low
Assassin's Creed III,13,2012,0,Ubisoft,0.19,0.13,0.0,0.03,0.35,85.0,26.0,7.1,216.0,Ubisoft Quebec,4,High
One Piece: Burning Blood,9,2016,2,Namco Bandai Games,0.11,0.13,0.07,0.05,0.35,66.0,45.0,7.8,49.0,Spike Chunsoft,6,Low
Star Wars: Flight of the Falcon,3,2003,0,THQ,0.25,0.09,0.0,0.01,0.35,39.0,13.0,5.8,11.0,Pocket Studios,1,Low
Teenage Mutant Ninja Turtles: Smash-Up,12,2009,2,Ubisoft,0.33,0.0,0.0,0.03,0.35,67.0,34.0,8.2,21.0,Game Arts,2,Average
Toukiden: The Age of Demons,11,2013,0,Tecmo Koei,0.04,0.04,0.25,0.02,0.35,71.0,44.0,8.0,136.0,Omega Force,6,Average
Football Manager 2016,5,2015,9,Sega,0.0,0.33,0.0,0.02,0.35,81.0,34.0,6.9,97.0,Sega,1,High
Resident Evil: Dead Aim,7,2003,0,Capcom,0.17,0.13,0.0,0.04,0.35,65.0,28.0,6.6,48.0,Cavia Inc.,4,Low
Need for Speed Carbon,4,2006,6,Electronic Arts,0.27,0.07,0.0,0.01,0.35,75.0,12.0,7.8,14.0,EA Canada,2,Average
EA Sports MMA,14,2010,2,Electronic Arts,0.23,0.09,0.0,0.02,0.35,79.0,63.0,7.0,55.0,EA Tiburon,6,High
Defiance,8,2013,8,Trion Worlds,0.19,0.1,0.0,0.06,0.35,59.0,21.0,6.9,145.0,Trion Worlds,4,Low
Terminator Salvation,14,2009,8,Warner Bros. Interactive Entertainment,0.13,0.18,0.0,0.04,0.35,48.0,50.0,5.0,53.0,GRIN,6,Low
Guilty Gear X2,7,2002,2,Sammy Corporation,0.09,0.07,0.16,0.02,0.35,87.0,31.0,8.7,34.0,Arc System Works,6,High
Chicken Shoot,12,2007,0,Zoo Digital Publishing,0.32,0.0,0.0,0.02,0.35,27.0,9.0,4.8,26.0,Destination Software,2,Low
Tom Clancy's Rainbow Six: Lockdown,7,2005,8,Ubisoft,0.17,0.13,0.0,0.04,0.35,70.0,15.0,6.9,9.0,"Red Storm Entertainment, Ubisoft Montreal",4,Average
MotoGP 08,14,2008,6,Capcom,0.11,0.2,0.0,0.04,0.35,68.0,20.0,5.6,12.0,Milestone S.r.l,1,Average
LEGO Marvel's Avengers,16,2016,0,Warner Bros. Interactive Entertainment,0.19,0.12,0.0,0.03,0.35,71.0,18.0,5.1,15.0,TT Games,2,Average
Aggressive Inline,7,2002,10,Acclaim Entertainment,0.17,0.13,0.0,0.04,0.35,85.0,31.0,8.7,14.0,"Z-Axis, Ltd.",6,High
Mirror's Edge Catalyst,9,2016,4,Electronic Arts,0.11,0.16,0.02,0.05,0.35,69.0,50.0,4.7,578.0,EA DICE,6,Average
Sniper Elite 3,16,2014,8,505 Games,0.2,0.11,0.0,0.03,0.35,63.0,12.0,6.6,68.0,Rebellion,4,Low
NFL Street,4,2004,10,Electronic Arts,0.27,0.07,0.0,0.01,0.35,81.0,30.0,8.0,4.0,EA Tiburon,1,High
Karaoke Revolution,7,2003,3,Konami Digital Entertainment,0.17,0.13,0.0,0.04,0.35,83.0,29.0,9.1,17.0,Harmonix Music Systems,1,High
Metal Arms: Glitch in the System,7,2003,8,Vivendi Games,0.17,0.13,0.0,0.04,0.35,81.0,28.0,8.9,17.0,Mass Media,6,High
EverGrace,7,2000,7,Ubisoft,0.1,0.08,0.15,0.03,0.35,59.0,12.0,7.8,4.0,From Software,6,Low
Enemy Territory: Quake Wars,8,2008,8,Activision,0.23,0.07,0.0,0.04,0.35,60.0,30.0,6.4,14.0,"Z-Axis, Ltd.",6,Low
Lunar 2: Eternal Blue Complete,6,1999,7,Kadokawa Shoten,0.19,0.13,0.0,0.02,0.35,86.0,12.0,8.9,37.0,Game Arts,6,High
MLB 06: The Show,10,2006,10,Sony Computer Entertainment,0.32,0.0,0.0,0.03,0.35,83.0,30.0,8.5,32.0,SCEA San Diego Studios,1,High
Over the Hedge,4,2006,4,Activision,0.27,0.07,0.0,0.01,0.35,61.0,21.0,9.3,6.0,Edge of Reality,2,Low
Charlie and the Chocolate Factory,7,2005,1,Global Star,0.17,0.13,0.0,0.04,0.35,35.0,21.0,4.1,28.0,"High Voltage Software, Backbone Entertainment",1,Low
TrackMania Turbo,9,2016,0,Ubisoft,0.03,0.26,0.0,0.05,0.35,81.0,52.0,7.9,110.0,Nadeo,1,High
Tiger Woods PGA Tour 12: The Masters,12,2011,10,Electronic Arts,0.2,0.11,0.0,0.03,0.34,85.0,14.0,6.7,7.0,Electronic Arts,1,High
Def Jam Icon,14,2007,0,Electronic Arts,0.3,0.01,0.0,0.03,0.34,69.0,48.0,6.3,108.0,EA Chicago,4,Average
Dynasty Warriors 5 Empires,7,2006,0,Tecmo Koei,0.11,0.09,0.12,0.03,0.34,62.0,23.0,9.1,24.0,Omega Force,6,Low
Call of Duty: Ghosts,13,2013,8,Activision,0.22,0.09,0.01,0.03,0.34,69.0,6.0,3.4,256.0,Treyarch,4,Average
Transformers: Dark of the Moon,8,2011,0,Activision,0.11,0.18,0.0,0.06,0.34,57.0,41.0,5.6,27.0,High Moon Studios,6,Low
SoulCalibur,1,1999,2,Namco Bandai Games,0.0,0.0,0.34,0.0,0.34,98.0,24.0,8.8,200.0,Namco,6,High
WipEout 3,6,1999,6,Psygnosis,0.19,0.13,0.0,0.02,0.34,89.0,14.0,8.5,15.0,Psygnosis,1,High
WWE '12,12,2011,2,THQ,0.23,0.08,0.0,0.03,0.34,74.0,6.0,5.2,9.0,Yuke's,6,Average
WWE All Stars,14,2011,2,THQ,0.18,0.14,0.0,0.03,0.34,75.0,64.0,7.2,45.0,THQ,6,Average
Mini Ninjas,8,2009,0,Eidos Interactive,0.14,0.15,0.0,0.06,0.34,73.0,37.0,8.7,62.0,Io Interactive,2,Average
Tekken Tag Tournament 2,14,2012,2,Namco Bandai Games,0.19,0.11,0.01,0.03,0.34,83.0,35.0,7.5,90.0,Namco Bandai Games,6,High
Driver 2 Advance,3,2002,0,Atari,0.25,0.09,0.0,0.01,0.34,73.0,9.0,6.6,14.0,Sennari Interactive,6,Average
Monster Rancher 4,7,2003,9,Tecmo Koei,0.08,0.06,0.19,0.02,0.34,77.0,21.0,9.1,18.0,Tecmo,1,Average
Mini Ninjas,2,2009,0,Eidos Interactive,0.16,0.15,0.0,0.04,0.34,61.0,10.0,5.8,4.0,Magic Pockets,2,Low
Tim Burton's The Nightmare Before Christmas: Oogie's Revenge,7,2004,1,Disney Interactive Studios,0.17,0.13,0.0,0.04,0.34,65.0,34.0,8.6,20.0,Capcom,2,Low
Battalion Wars 2,12,2007,11,Nintendo,0.22,0.02,0.08,0.02,0.34,75.0,38.0,7.6,45.0,Kuju Entertainment,6,Average
MotorStorm: Arctic Edge,7,2009,6,Sony Computer Entertainment,0.07,0.03,0.0,0.25,0.34,72.0,10.0,8.3,6.0,Virtuos,6,Average
Hitman: Contracts,15,2004,8,Eidos Interactive,0.26,0.07,0.0,0.01,0.34,78.0,44.0,8.8,15.0,Io Interactive,4,Average
Supreme Commander 2,14,2010,11,Square Enix,0.23,0.09,0.0,0.03,0.34,75.0,28.0,7.1,23.0,Gas Powered Games,2,Average
Thunderstrike: Operation Phoenix,7,2001,9,Eidos Interactive,0.17,0.13,0.0,0.04,0.34,65.0,15.0,8.1,7.0,Core Design Ltd.,6,Low
Racquet Sports,8,2010,10,Ubisoft,0.11,0.17,0.0,0.06,0.34,45.0,17.0,4.3,8.0,Asobo Studio,1,Low
Company of Heroes 2,5,2013,11,THQ,0.06,0.25,0.0,0.04,0.34,80.0,82.0,2.1,6157.0,Relic,4,High
Trauma Center: Second Opinion,12,2006,9,Nintendo,0.28,0.01,0.03,0.03,0.34,80.0,49.0,8.0,47.0,Atlus,6,High
WWE Day of Reckoning 2,4,2005,2,THQ,0.26,0.07,0.0,0.01,0.34,76.0,36.0,6.0,263.0,Yuke's,6,Average
The Urbz: Sims in the City,15,2004,9,Electronic Arts,0.22,0.11,0.0,0.01,0.34,70.0,28.0,6.5,10.0,Maxis,6,Average
Rayman Legends,16,2014,4,Ubisoft,0.13,0.18,0.0,0.03,0.34,91.0,6.0,7.9,218.0,Ubisoft Montpellier,2,High
SpongeBob SquarePants: The Yellow Avenger,2,2005,0,THQ,0.31,0.0,0.0,0.02,0.34,67.0,5.0,7.6,10.0,Tantatus,1,Average
Monopoly,8,2008,3,Electronic Arts,0.25,0.05,0.0,0.04,0.34,54.0,4.0,6.7,13.0,Electronic Arts,1,Low
SimCity Creator,2,2008,9,Electronic Arts,0.29,0.02,0.0,0.03,0.34,69.0,16.0,7.3,8.0,Electronic Arts,1,Average
Tenchu Z,14,2006,0,Microsoft Game Studios,0.27,0.02,0.02,0.03,0.34,56.0,51.0,7.3,58.0,K2 LLC,4,Low
Conan,8,2007,0,THQ,0.13,0.15,0.0,0.05,0.34,69.0,35.0,7.2,40.0,Nihilistic,4,Average
Leisure Suit Larry: Magna Cum Laude,7,2004,1,Vivendi Games,0.17,0.13,0.0,0.04,0.34,60.0,44.0,6.3,18.0,High Voltage Software,4,Low
MVP 06 NCAA Baseball,15,2006,10,Electronic Arts,0.25,0.07,0.0,0.01,0.34,75.0,29.0,8.6,17.0,EA Canada,1,Average
Naruto Shippuden: Ultimate Ninja Impact,10,2011,2,Namco Bandai Games,0.09,0.07,0.15,0.04,0.34,59.0,16.0,7.2,26.0,Racjin,6,Low
F.E.A.R.,14,2006,8,Vivendi Games,0.28,0.03,0.0,0.03,0.34,85.0,44.0,7.3,131.0,Day 1 Studios,4,High
Tom Clancy's Ghost Recon: Shadow Wars,0,2011,11,Ubisoft,0.22,0.09,0.0,0.03,0.34,77.0,49.0,7.9,78.0,Ubisoft,6,Average
Herbie: Fully Loaded,3,2005,6,Disney Interactive Studios,0.24,0.09,0.0,0.01,0.34,47.0,9.0,6.8,4.0,Buena Vista Interactive,1,Low
Teenage Mutant Ninja Turtles,4,2003,0,Konami Digital Entertainment,0.26,0.07,0.0,0.01,0.34,57.0,25.0,8.0,8.0,Konami,1,Low
Kameo: Elements of Power,14,2005,0,Microsoft Game Studios,0.28,0.03,0.0,0.03,0.34,79.0,76.0,8.1,107.0,Rare Ltd.,6,High
Dynasty Warriors 6 Empires,8,2009,0,Tecmo Koei,0.14,0.03,0.15,0.02,0.34,62.0,22.0,7.0,26.0,Omega Force,6,Low
The Shoot,8,2010,8,Sony Computer Entertainment,0.13,0.15,0.01,0.05,0.34,60.0,39.0,6.2,11.0,Cohort Studios,6,Low
Puzzle Quest: Challenge of the Warlords,2,2007,5,D3Publisher,0.28,0.0,0.03,0.02,0.34,82.0,41.0,8.7,32.0,1st Playable Productions,2,High
Dynasty Warriors: Gundam 2,7,2008,0,Namco Bandai Games,0.04,0.03,0.25,0.01,0.34,52.0,8.0,6.5,8.0,Omega Force,6,Low
Star Ocean: Second Evolution,10,2008,7,Square Enix,0.14,0.01,0.16,0.02,0.34,75.0,37.0,7.1,26.0,TOSE,6,Average
MXRider,7,2001,6,Atari,0.16,0.13,0.0,0.04,0.34,69.0,16.0,6.8,6.0,Paradigm Entertainment,1,Average
Delta Force: Black Hawk Down,15,2005,8,NovaLogic,0.25,0.07,0.0,0.01,0.34,61.0,37.0,6.6,19.0,Climax Group,6,Low
Pirates of the Caribbean: At World's End,14,2007,0,Disney Interactive Studios,0.29,0.02,0.0,0.03,0.34,58.0,42.0,5.3,21.0,Eurocom Entertainment Software,6,Low
The Eye of Judgment,8,2007,3,Sony Computer Entertainment,0.28,0.0,0.02,0.03,0.33,75.0,43.0,8.2,51.0,SCEJ,6,Average
Tom Clancy's Ghost Recon Advanced Warfighter,15,2006,8,Ubisoft,0.21,0.11,0.0,0.01,0.33,66.0,14.0,6.0,27.0,Ubisoft Shanghai,6,Low
NHL 09,8,2008,10,Electronic Arts,0.29,0.02,0.0,0.03,0.33,88.0,25.0,7.7,41.0,EA Canada,2,High
World of Final Fantasy,9,2016,7,Square Enix,0.08,0.14,0.08,0.04,0.33,77.0,74.0,8.3,222.0,Square Enix,2,Average
Banjo-Kazooie: Grunty's Revenge,3,2003,4,THQ,0.24,0.09,0.0,0.01,0.33,72.0,21.0,8.1,18.0,Rare Ltd.,1,Average
NHL 17,9,2016,10,Electronic Arts,0.19,0.08,0.0,0.06,0.33,78.0,26.0,5.8,67.0,"EA Canada, EA Vancouver",2,Average
Mega Man ZX Advent,2,2007,4,Capcom,0.22,0.0,0.09,0.02,0.33,78.0,27.0,8.6,32.0,Inti Creates,2,Average
NCAA Basketball 10,8,2009,10,Electronic Arts,0.31,0.0,0.0,0.03,0.33,75.0,17.0,7.8,6.0,EA Canada,1,Average
Jeanne d'Arc,10,2006,7,Sony Computer Entertainment,0.21,0.0,0.1,0.02,0.33,87.0,45.0,8.2,74.0,Level 5,6,High
Harry Potter and the Deathly Hallows - Part 2,14,2011,0,Electronic Arts,0.19,0.11,0.0,0.03,0.33,44.0,31.0,5.4,24.0,EA Bright Light,6,Low
Avatar: The Last Airbender,2,2006,1,THQ,0.3,0.01,0.0,0.03,0.33,64.0,9.0,6.4,7.0,TOSE,1,Low
Ape Escape Academy,10,2004,3,Sony Computer Entertainment,0.13,0.15,0.0,0.05,0.33,51.0,48.0,5.8,4.0,Shift,2,Low
WWE Wrestlemania XIX,4,2003,2,THQ,0.26,0.07,0.0,0.01,0.33,76.0,26.0,8.7,47.0,Yuke's,6,Average
The Sims 2,4,2005,9,Electronic Arts,0.26,0.07,0.0,0.01,0.33,73.0,22.0,8.3,8.0,Maxis,6,Average
Hulk,15,2003,0,Universal Interactive,0.25,0.07,0.0,0.01,0.33,69.0,25.0,7.7,9.0,Radical Entertainment,6,Average
Untold Legends: The Warriors Code,10,2006,7,Ubisoft,0.14,0.12,0.0,0.08,0.33,65.0,46.0,8.3,28.0,Sony Online Entertainment,6,Low
Klonoa 2: Lunatea's Veil,7,2001,4,Sony Computer Entertainment,0.12,0.1,0.08,0.03,0.33,91.0,18.0,9.1,72.0,Namco,1,High
Deus Ex: Invisible War,15,2003,8,Eidos Interactive,0.25,0.07,0.0,0.01,0.33,84.0,50.0,7.6,37.0,Ion Storm,4,High
The King of Fighters XIII,14,2011,2,Rising Star Games,0.23,0.06,0.01,0.03,0.33,79.0,31.0,8.2,51.0,SNK Playmore,6,High
Tak 2: The Staff of Dreams,4,2004,4,THQ,0.26,0.07,0.0,0.01,0.33,75.0,22.0,8.6,8.0,Avalanche Software,1,Average
Fracture,14,2008,8,LucasArts,0.15,0.14,0.0,0.04,0.33,63.0,60.0,6.2,45.0,Day 1 Studios,6,Low
Ninja Blade,14,2009,0,Microsoft Game Studios,0.14,0.14,0.02,0.03,0.33,68.0,65.0,6.8,55.0,From Software,4,Average
LEGO Batman 2: DC Super Heroes,11,2012,0,Warner Bros. Interactive Entertainment,0.16,0.11,0.0,0.06,0.33,62.0,9.0,6.7,46.0,TT Games,2,Low
Bee Movie Game,12,2007,0,Activision,0.3,0.01,0.0,0.03,0.33,62.0,16.0,7.6,7.0,Smart Bomb Interactive,1,Low
Kelly Slater's Pro Surfer,7,2002,10,Activision,0.16,0.13,0.0,0.04,0.33,77.0,19.0,8.4,15.0,Treyarch,1,Average
Sniper: Ghost Warrior 2,8,2013,8,City Interactive,0.05,0.18,0.03,0.07,0.33,52.0,15.0,6.0,82.0,City Interactive,4,Low
Legends of Wrestling II,7,2002,2,Acclaim Entertainment,0.16,0.13,0.0,0.04,0.33,59.0,15.0,6.7,6.0,Acclaim,6,Low
Virtua Tennis 2009,14,2009,10,Sega,0.12,0.18,0.0,0.03,0.33,70.0,43.0,6.2,15.0,Sumo Digital,1,Average
Street Fighter Alpha 3 MAX,10,2006,2,Capcom,0.27,0.01,0.02,0.03,0.33,80.0,35.0,8.0,27.0,Capcom,6,High
MLB 09: The Show,7,2009,10,Sony Computer Entertainment,0.16,0.13,0.0,0.04,0.33,79.0,7.0,7.5,12.0,SCEA San Diego Studios,1,High
Classic NES Series: Castlevania,3,2004,4,Nintendo,0.17,0.06,0.09,0.01,0.33,74.0,10.0,8.6,12.0,Konami,1,Average
Fight Night Round 3,15,2006,2,Electronic Arts,0.26,0.06,0.0,0.01,0.33,83.0,32.0,9.0,21.0,EA Chicago,6,High
Way of the Samurai 2,7,2003,0,Capcom,0.05,0.04,0.23,0.01,0.33,59.0,32.0,9.0,24.0,Acquire,4,Low
Planet Puzzle League,2,2007,5,Nintendo,0.14,0.01,0.16,0.01,0.33,86.0,25.0,8.2,15.0,Intelligent Systems,1,High
Naruto: Rise of a Ninja,14,2007,0,Ubisoft,0.29,0.01,0.0,0.03,0.33,78.0,35.0,8.6,84.0,Ubisoft Montreal,6,Average
Cabela's Dangerous Hunts 2011,8,2010,10,Activision,0.26,0.04,0.0,0.03,0.33,60.0,4.0,5.4,9.0,Activision,6,Low
